productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
Free Authority Men Grey Batman Printed T-shirt,Free Authority,539,5,"\"Grey Batman printed T-shirt",has a round neck,0,1,4,7
AURELIA Women Grey & Silver Printed Straight Kurta,AURELIA,479,6,"\"Grey and Silver printed straight kurta",has a mandarin collar,1,1,6,8
KLEIO Women Gold-Toned Solid Backpack,KLEIO,979,5,"\"1.Type-Backpack II Material-PU Leather II Product Dimensions (LxBxH) inches- 14x5x122.Compartments-1 II Pockets-4 II Sling length (inches)-373.Closure type-Magnetic Button II Inside material-Polyester II 13\"\" high book can be kept Easily.Closure type-Magnetic Button II Inside material-Polyester II 13\"\" high book can be kept Easily.4.Occassion-Travel/ office/ College/ School/ picnic II Pattern-Metallic Colors5.CARE : 3 months warranty for manufacturing defects. As it is a new item","sometimes there maybe little smell but it will go away after few days by putting in open air. Do not wash. You can use wet neutral colored cloth to wipe clean it. Please confirm the size as per our description instead of product image. Measurement is done manually and may vary by 1\"\". Do allow little color difference from actual product as it may vary due to color reflection in different monitor",1,1,62,5
AURELIA Charcoal Grey & Silver Printed Dupatta,AURELIA,999,2,Charcoal grey and silver printed dupatta,Grey,1,1,6,7
Aujjessa Women Orange Printed Straight Kurta,Aujjessa,1299,5,"\"Orange printed straight kurta",has a round neck,1,1,4,6
justpeachy Rose Gold-Toned Classic Drop Earrings,justpeachy,419,4,Rose Gold-Toned Classic EarringsSecured with a post and back,Gold,1,1,9,6
AURELIA Women Red & Golden Woven Design Layered Kurta with Palazzos & Dupatta,AURELIA,1599,6,"\"Red and golden woven design layered kurta with palazzos and dupattaRed and golden straight calf length layered kurta with zari detail",has a round neck,1,1,21,13
WROGN Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,WROGN,1999,7,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,0,1,6,10
Lavie Navy Blue Solid Handheld Bag,Lavie,1979,6,"\"Navy Blue solid handheld bag",has a zip closure1 main compartment,1,1,5,6
GAP Men's Vintage Slub Jersey Henley,GAP,1999,5,"\"Garment-dyed and washed with a special technique for incredible softness and true colorSoft",airy,0,1,13,6
KAMA AYURVEDA Sustainable Set of 3 Hair Care Regime,KAMA AYURVEDA,840,6,This Hair Care Regime consists of?Bringadi Intensive Hair TreatmentRose and Jasmine Hair CleanserRose and Jasmine Hair Conditioner,"",1,1,17,9
U.S. Polo Assn. Kids Boys Fluorescent Yellow Printed Hooded Sweatshirt,U.S. Polo Assn. Kids,1999,5,"\"Fluorescent yellow printed sweatshirt",has a hood,0,0,4,10
U.S. Polo Assn. Kids Girls Black & Silver Star Printed Leggings,U.S. Polo Assn. Kids,779,5,"\"Black and silver star print leggings","has an elasticated waistband with slip-on closure\"",1,0,6,11
U.S. Polo Assn. Kids Girls Coral Red Printed Round Neck T-shirt,U.S. Polo Assn. Kids,599,3,"\"Coral Red printed T-shirt",has a round neck,1,0,4,11
ADIDAS Men Blue Printed WINTRD Round Neck T-shirt,ADIDAS,1149,1,Product Details:Blue printed T-shirthas a round neckshort sleeves,Blue,0,1,8,8
Natilene Girls Coral Orange & White Regular Fit Checked Casual Shirt,Natilene,652,4,"\"Coral orange and white checked casual shirt with a waist tie-up detail",has a spread collar,1,0,12,11
Louis Philippe Sport Men Blue Slim Fit Solid Regular Trousers,Louis Philippe Sport,2124,5,"\"Blue solid mid-rise trousers",button closure,0,1,4,10
ESBEDA Black Solid Rectangular Foldable Desk Organiser,ESBEDA,990,5,"\"Set Content: One organiserType: Foldable?Desk OrganiserColour: BlackMaterial: Synthetic leatherShape: RectangularPattern: SolidFeatuers: Foldable with one main compartment","5 slip pockets\"",2,1,16,7
Basics Men Green & Brown Slim Fit Checked Casual Shirt,Basics,1399,5,"\"Green and Brown checked casual shirt",has a spread collar,0,1,6,10
GAP Men's Checked Lived-In Stretch Poplin Shirt,GAP,1999,6,"\"The classic",one-and-doneSmooth,0,1,2,7
GAP Boys Graphic Short Sleeve T-shirt,GAP,1299,3,"\"Standout","specially designed graphics let you be youSoft jersey knitShort sleevesCrewneckAssorted graphics at front\"",0,0,1,6
plusS Women Grey Floral Printed A-Line Top,plusS,575,5,"\"Grey",pink and white printed woven A-line top,1,1,1,7
Flying Machine Boys Maroon & Blue Printed Pullover,Flying Machine,1299,4,"\"Maroon and blue printed pullover",has a V-neck,0,0,5,8
Basics Men Brown Slim Fit Self Design Casual Shirt,Basics,1259,5,"\"Brown self-design casual shirt",has a button-down collar,0,1,4,9
Louis Philippe Men Black Slim Fit Solid Formal Trousers,Louis Philippe,2124,5,"\"Black solid mid-rise trousers",button closure,0,1,4,9
FableStreet Women Teal Blue Solid Top,FableStreet,1356,5,"\"Teal blue solid woven regular top",has a round neck,1,1,6,6
Marks & Spencers Women Aqua Eau de Toilette 25ml,Marks & Spencer,999,2,Aqua Eau de Toilette 25ml,"",1,1,5,9
Louis Philippe Burgundy Self-Design Slim Fit Formal Suit,Louis Philippe,9349,5,"\"Burgundy self-design formal suitBurgundy?self-design suit",single breasted with double button closures,0,1,5,8
Pepe Jeans Boys Black & Grey Camouflage Printed Polo Collar T-shirt,Pepe Jeans,524,4,"\"  Black and grey Tshirt for boys   Camouflage printed   Regular length   Polo collar   Short","regular sleeves   Knitted cotton fabric   Button closure  \"",0,0,23,11
FabSeasons Unisex Navy Blue Solid Beanie,FabSeasons,349,5,Navy Blue solid  Cap and has a visor,Blue,2,1,9,6
Alcis Men Navy Blue Solid Stand Collar T-shirt,Alcis,499,5,"\"Navy Blue solid T-shirt",has a stand collar,0,1,4,8
Levis Men Brown Sneakers,Levis,3999,7,"\"A pair of round-toe brown sneakers",has regular styling,0,1,6,4
Levis Men White Solid Sneakers,Levis,2799,7,"\"A pair of round-toe white sneakers",has regular styling,0,1,6,5
Calvin Klein Jeans Men White Printed Round Neck T-shirt,Calvin Klein Jeans,2099,5,"\"White printed T-shirt",has a round neck,0,1,3,9
Pepe Jeans Men Black & Grey Striped Polo Collar T-shirt,Pepe Jeans,799,5,"\"Black and grey striped T-shirt",has a polo collar,0,1,5,10
Parx Men Blue Slim Fit Self Design Regular Trousers,Parx,879,5,"\"Blue self-design mid-rise regular trousers",has a button closure,0,1,5,9
Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE,Soie,655,5,Nude-Coloured solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Red,1,1,23,9
HIGHLANDER Men Blue Slim Fit Printed Casual Shirt,HIGHLANDER,699,5,"\"Blue printed casual shirt",has a spread collar,0,1,4,8
AccessHer Gold-Plated & Green Embellished Goddess Lakshmi-Shaped Brooch,AccessHer,625,4,"\"Antique gold toned and green saree pin with Lakshmi goddess temple design studded with stone","gold-platedSecured with a safety pin closure\"",1,1,15,8
Homesake Gold-Toned Solid Handcrafted Table Lamp with Shade,Homesake,1732,5,Type: Handcrafted Table Lamp with ShadeColour: Gold-TonedPattern: SolidShape: FrustumShade material: FabricBase material: AluminiumSwitch Type: Toggle Button,Gold,2,1,16,8
SEJ by Nisha Gupta Multicoloured Printed Table Runner,SEJ by Nisha Gupta,599,3,Set content: One runnerType: Table runnerColour: multicolouredFabric: PolycottonShape: RectangularPattern: FloralDisclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.,Red,2,1,25,8
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Trunks XYTRNK2PCKN233,XYXX,664,5,"\"Pack of 2 trunks in Black & Blue with contoured front pouch and anti-microbial finish that prevents odours and rashes.",Unknown,0,1,20,12
HERE&NOW Men Olive Green Solid Biker Jacket,HERE&NOW,1609,7,"\"Olive green solid biker jacket",has a stand collar,0,1,5,7
Nike Women Black & Red Magistax Finale Indoor Football Shoes,Nike,3118,5,"\"A pair of black and red indoor football shoes",has central lace-upsSynthetic leather upperCushioned footbedMidsole with LunarLon technologyTextured outsole with patterned grooves,1,1,9,10
Geox Men Black Solid Leather Formal Derbys,Geox,8499,5,"\"A pair of black solid round-toed formal derbysLeather upperCushioned footbedTextured and patterned outsole","has a stacked heelWarranty: 6 monthsWarranty provided by brand/manufacturer\"",0,1,13,7
Titan Women Blue Analogue Watch 2602SL01,Titan,1756,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time",Date Aperture,1,1,12,6
Flying Machine Navy Printed Hooded Sweatshirt,Flying Machine,1149,5,"\"Navy printed sweatshirt",has an attached hood with a drawstring fastening,0,1,3,6
Arrow Sport Off-White Woollen Cardigan,Arrow Sport,1999,4,"\"Off-white and navy blue?cardigan",has a V-neck,0,1,4,5
Soie Black Printed Non-Wired Lightly Padded Everyday Bra CB-126BLACK,Soie,940,5,Black printed full-coverage Everyday bra Lightly Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Red,1,1,23,9
Tokyo Talkies Women Green Solid Peplum Top,Tokyo Talkies,449,5,"\"Green solid woven peplum top",has a round neck,1,1,5,7
Aurelia Blue Embroidered Kurta,AURELIA,899,4,"\"Blue kurta with embroidered detail and woven design",has a round neck,1,1,8,4
Parx Men Black Solid Bomber Jacket,Parx,1799,5,"\"Black solid bomber jacket",has a mandarin collar,0,1,4,6
Fame Forever by Lifestyle Men Black Printed Polo Collar T-shirt,Fame Forever by Lifestyle,449,4,"\"Black and Grey printed T-shirt",has a polo collar,0,1,5,10
Schwarzkopf PROFESSIONAL Unisex Bonacure pH 4.5 Color Freeze Treatment Hair Masque 200 ml,Schwarzkopf PROFESSIONAL,880,3,What it isColor freeze hair maskWhat it doesCream-based hair mask for coloured and highlighted hairIt strengthens the hair structure to pH 4.5 with zero colour fadeProvides up to 90% colour retention and 100% colour and shineColor stabiliser protects the hair against color fading along with special UV filters that protect hair from environmental effectsReduces frizz and smoothens hair textureEnriched with amino acid that penetrates deeply to repair the inner hair structureSuitable for colour-treated hair,"",2,1,74,13
Rajasthan Decor Set of 2 Off-White Printed Rectangular Pillow Covers,Rajasthan Decor,449,4,Set content: 2 pillow coversShape: RectangularColour: Off-WhitePrint: Ethnic print,White,2,1,9,10
Femmora Women Cream-Coloured Printed Night suit,Femmora,999,5,"\"Cream-Coloured night suit consists of t-shirt and pyjamasCream-Coloured  printed  t-shirt",has a round neck,1,1,12,6
Metro Women Pink Solid Open Toe Flats,Metro,745,5,"\"A pair of pink open-toed flats",has regular styling,1,1,6,7
Roadster Men Blue Super Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Roadster,1299,5,"\"Blue medium wash five-pocket mid-rise jeans",low distress,0,1,6,11
GIORDANO Blue & White Colourblocked Shoulder Bag,GIORDANO,1501,5,"\"Blue and white colourblocked shoulder bag",has a zip closure1 main compartment,1,1,6,7
HRX by Hrithik Roshan Men Grey Solid Training Anti-Microbial Slim Fit Track Pants,HRX by Hrithik Roshan,1299,7,The HRX Men's Training Track Pants deliver on performance and style. The Anti-Microbial technology fights against odor creating bacteria while the reflective details keep you visible in low light.Features:Anti-Microbial technology keeps odor-causing microbes away.Cuff detailing at the bottom keeps tracks from riding up.Cut and Sew constructionPlacement printReflective detailsLength: Full LengthColour: Grey MelangeFit: Slim Fit,Grey,0,1,54,13
Hancock Men Charcoal Grey & Beige Regular Fit Striped Formal Shirt,Hancock,599,5,"\"Charcoal grey and Beige striped formal shirt",has a spread collar,0,1,7,11
ADORENITE Women White Slogan Detail Half Sleeves Cotton Sleep Shirts,ADORENITE,899,5,"\"White printed Sleep Shirts",has round neck,1,1,4,10
CHROME & CORAL Women Grey & Pink Printed Tights,CHROME & CORAL,1499,5,"\"Grey and pink printed tights","has an elasticated waistband\"",1,1,5,9
Archies Love Gifts White & Black Ceramic Mug for Valentine,Archies,699,3,Pattern: PrintedFinish: MatteMaterial: Ceramic,Black,2,1,4,10
Flying Machine Men Grey Slim Tapered Fit Mid-Rise Mildly Distressed Stretchable Jeans,Flying Machine,1359,7,"\"Grey light wash 5-pocket mid-rise?tapered slim fit jeans",mildly distressed,0,1,8,12
Karmic Vision Women Red & White Colourblocked A-Line Dress,Karmic Vision,679,5,"\"Red and white colourblocked knitted A-line dress",has an off-shoulder neck,1,1,7,9
Flying Machine Men Yellow & Black Slim Fit Checked Casual Shirt,Flying Machine,854,5,"\"Yellow and black checked casual shirt",has a spread collar,0,1,6,11
Indian Terrain Boys White Printed Round Neck T-shirt,Indian Terrain,449,4,"\"White printed T-shirt",has a round neck,0,0,3,8
OOMPH Gold-Toned & Pink Floral Adjustable Ring,OOMPH,431,4,Gold-toned and pink Acrylic Floral Statement Cocktail Adjustable RingOcassion: WesternStone type: Artificial stoned and beads,Pink,1,1,15,7
Indian Terrain Boys Red & Black Regular Fit Printed Casual Shirt,Indian Terrain,584,4,"\"Red and Black printed casual shirt",has a spread collar,0,0,6,11
Indian Terrain Men Black Striped Polo Collar T-shirt,Indian Terrain,719,5,"\"Black striped T-shirt",has a polo collar,0,1,3,8
Aditi Wasan Unisex Tan Brown Solid Leather Card Holder,Aditi Wasan,499,5,"\"Tan brown solid card holder6 card holders","2 slip pocketsDisclaimer: This is a genuine leather product that has been designed with good care which makes every piece unique and gives variety in the appearance. The genuine look might vary\"",2,1,7,9
Indian Terrain Boys Navy Blue Regular Fit Printed Casual Shirt,Indian Terrain,629,4,"\"Navy Blue printed casual shirt",has a mandarin collar,0,0,5,10
Roadster Women Navy Blue Striped Mandarin Collar T-shirt,Roadster,699,5,"\"Navy Blue striped T-shirt",has a mandarin collar,1,1,4,8
Puma Unisex Black Future Runner Sneakers,Puma,3574,7,"\"Special Technologies:IMEVA: PUMA's midsole for a lightweight and comfortable feelSoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your dayDesign Details:A pair of round-toe black sneakers",has regular styling,2,1,34,6
Tresmode Women Gold-Toned Leather Loafers,Tresmode,5655,5,"\"A pair of round-toe gold-toned loafers",has regular styling,1,1,6,5
Indian Terrain Boys Charcoal Grey Regular Fit Solid Trousers,Indian Terrain,674,4,"\"Charcoal?Grey solid mid-rise trousers",button closure,0,0,4,9
Soie Women Red Printed Knee-Length Sleep Shirts NT-98CAYENNE-4,Soie,891,5,"\"Red printed knee-length sleep shirts",has a round neck,1,1,5,8
CODE by Lifestyle Men Blue Printed Polo Collar T-shirt,CODE by Lifestyle,499,5,"\"Blue printed T-shirt",has a polo collar,0,1,3,9
Divine Casa Blue & Grey Floral 144 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,Divine Casa,647,4,Set content: 1 Queen bedsheet with 2 pillow coversQuality: SuperfineThread count: 144Colour: Blue and GreyPattern: Floral,Blue,2,1,16,16
Indian Terrain Men Green & Black Slim Fit Printed Semiformal Shirt,Indian Terrain,944,5,"\"Green and Black printed semiformal shirt",has a spread collar,0,1,6,11
JAINISH Men Grey Solid Joggers,JAINISH,584,5,"\"A pair of grey solid joggers",has an elasticated waistband with slip on closure,0,1,6,5
Kvsfab Green & Black Printed Poly Georgette Saree,Kvsfab,1217,6,Design Detail:Green amp; black printed saree and has a printed borderBlouse PieceThenbsp;modelnbsp;isnbsp;wearingnbsp;anbsp;stitchednbsp;versionnbsp;of the blouse. The saree comes with an unstitched blouse piece.,Green,1,1,22,8
WROGN Men Off-White Printed Hood T-shirt,WROGN,1299,6,"\"Off-white printed T-shirt",has a hood,0,1,3,6
Puma Unisex Maroon Graphic Beta Laptop Backpack,Puma,1169,8,Product DetailsMaroon graphic backpackTwo-way zip opening into main compartmentZip opening into front compartmentLining laptop compartment inside main compartmentTwo side mesh pocketsAdjustable and padded shoulder straps with PUMA Cat branded reflective loopPadded back panelBig reflective tape on frontWebbing carry handlePUMA branded 150D Polyester lining with PU backingBranded metal zip puller'sPUMA Cat logo print on front panelWarranty: 1 yearWarranty provided by manufacturer / brand owner,Maroon,2,1,63,7
Kraft Cellar Women Red Solid Suede Sandals,Kraft Cellar,949,5,"\"A pair of red open toe sandals",has mid-top styling,1,1,7,7
WROGN Men Camel Brown Solid Slim Fit Biker Jacket,WROGN,1719,7,"\"Camel Brown solid biker jacket",has a mock collar,0,1,5,9
AURELIA Women Burgundy Self Design Cardigan,AURELIA,879,5,"\"Burgundy self-design cardigan",has a round neck,1,1,3,6
AURELIA Women Navy Blue Printed A-Line Kurta,AURELIA,679,5,"\"Navy printed A-line kurta",has a round neck,1,1,4,7
AURELIA Women Yellow & Navy Blue Printed Layered Straight Winter Kurta,AURELIA,799,5,"\"Yellow and navy blue printed straight layered winter kurta",has a round neck,1,1,9,11
Van Heusen Woman Women Silver-Toned Solid Heels,Van Heusen Woman,1624,6,"\"A pair of silver-toned solid open toe heels",has regular styling,1,1,8,7
AURELIA Women Mustard Yellow & Pink Printed Layered A-Line Kurta,AURELIA,799,5,"\"Pink solid straight kurta",has a round neck,1,1,4,10
