productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
PARFAIT Plus Size Black Solid Non-Wired Non Padded Everyday Bra P5641,PARFAIT,1609,4,Black solid full-coverage everyday bra with lace detailNon padded and non-wired cut and sew cupsRegular straps and back closureBack style: Regular straps with a hook to make it racer backFeature: Side Bone,Red,1,1,32,11
Next Look Men Blue Slim Fit Self Design Casual Shirt,Next Look,599,5,"\"Blue self-design casual shirt",has a spread collar,0,1,4,10
Rajnandini Purple Silk Crepe Unstitched Dress Material,Rajnandini,598,5,"\"Purple printed unstitched dress materialPurple solid kurta fabricPurple printed bottom fabricPurple printed dupatta","has printed borderDisclaimer: Images are for referral purposes only. The actual product is unstitched\"",1,1,13,7
Titan Classique Men White Analogue watch NL90101KM01,Titan,7836,4,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round stainless steel dialFeatures: Reset Time",Multi FunctionStrap style: Silver-Toned regular,0,1,13,7
Titan Men Blue Genuine Leather Analogue Watch 1802WL01,Titan,2556,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown regular","leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case\"",0,1,16,8
Fastrack Trendies Women White Analogue watch NL68006PP02,Fastrack,1516,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: White regular","silicon strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case\"",1,1,15,7
Coolers Men Black Leather Sandals,Coolers,1799,5,A pair of black shoe-style sandalsLeather upper with velcro closureCushioned footbedPatterned rubber outsole,Black,0,1,13,5
DressBerry Women Pack of 2 Solid Shoe Liners,DressBerry,329,5,Pack?of 2 solid shoe liners in beige and greyEach has an elasticated mouth and a flat toe seam,"",1,1,18,8
UCLA Men Beige Printed Round Neck T-shirt,UCLA,349,5,"\"Beige printed T-shirt",has a round neck,0,1,3,7
ELLE Blue & Off-White Colourblocked Shoulder Bag,ELLE,1497,5,"\"Blue colourblocked shoulder bag",has a zip closure2 main compartments,1,1,4,7
Shoetopia Women Gold-Toned Woven Design Mules,Shoetopia,499,5,"\"A pair of gold-toned round-toe flats",has regular styling,1,1,6,6
TAYHAA White Sand Stone Face Statue,TAYHAA,1260,4,Set content: One showpiece Colour: White Size: Medium Pattern: Textured Shape: Peck on forehead statue Material: Sand Stone,White,2,1,19,6
Archies White 2-Pieces Printed Ceramic Mug Set,Archies,1099,5,Content: 2 pieces mug setPattern: PrintedFinish: MatteMaterial: CeramicFeatures: Dishwasher and Microwave Safe,White,2,1,12,7
Puma Men Navy Blue Textile Running Non-Marking Shoes,Puma,1799,5,"\"A pair of navy blue running shoes",has regular Styling,0,1,7,8
Hypernation Men Blue & Grey Striped Straight Kurta,Hypernation,699,5,"\"Blue and Grey striped straight kurta",has a mandarin collar,0,1,6,8
Karmic Vision Women Dusty Pink & Black Colourblocked Maxi Dress,Karmic Vision,799,5,"\"Dusty pink and black colourblocked woven maxi dress",has a boat neck,1,1,8,10
HRX by Hrithik Roshan Men Navy Blue Solid Training Anti-Microbial Slim Fit Track Pants,HRX by Hrithik Roshan,594,7,The HRX Men's Training Track Pants deliver on performance and style. The Anti-Microbial technology fights against odor creating bacteria while the reflective details keep you visible in low light.Features:Anti-Microbial technology keeps odor-causing microbes away.Cuff detailing at the bottom keeps tracks from riding up.Cut and Sew constructionPlacement printReflective detailsLength: Full LengthColour: Navy MelangeFit: Slim Fit,Blue,0,1,54,14
HERE&NOW Men Blue Jogger Fit Mid-Rise Clean Look Stretchable Jeans,HERE&NOW,1299,7,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,0,1,6,10
Canary London Men Grey Checked Single-Breasted Slim Fit Casual Blazer,Canary London,2699,5,"\"Maroon and grey checked single-breasted casual blazer",has a notched lapel,0,1,7,10
RARE Women Blue & White Striped Peplum Top,RARE,539,5,"\"Blue and White striped woven peplum top",has a square neck,1,1,7,8
Indian Terrain Boys Navy Blue Solid Polo Collar T-shirt,Indian Terrain,472,3,"\"Navy Blue solid T-shirt",has a polo collar,0,0,4,9
Indian Terrain Boys Blue Solid Hooded T-shirt,Indian Terrain,472,6,"\"Blue? solid T-shirt",has a hood,0,0,3,7
Moda Rapido Men Blue Slim Fit Printed Chinos,Moda Rapido,1299,7,"\"Blue printed mid-rise trousers",button closure,0,1,4,8
Indian Terrain Boys Blue & Red Regular Fit Checked Casual Shirt,Indian Terrain,584,5,"\"Blue and Red checked casual shirt",has a spread collar,0,0,6,11
Indian Terrain Men White Slim Fit Checked Casual Shirt,Indian Terrain,989,5,"\"White checked casual shirt",has a spread collar,0,1,4,9
Tistabene Gold-Plated Floral Drop Earrings,Tistabene,1490,3,"\"Gold-Toned Floral Earrings",gold-plated,1,1,3,5
Hypernation Women Orange Solid Open Front Shrug,Hypernation,699,5,"\"Orange solid open front longline shrug",has sleeveless,1,1,6,7
Tommy Hilfiger Men Navy Blue & Light Green Printed Trunk A9AB4135,Tommy Hilfiger,974,4,"\"Navy blue striped trunk",has an elasticated waistband,0,1,4,11
Indian Terrain Men Green & Beige Slim Fit Checked Smart Casual Shirt,Indian Terrain,1034,6,"\"Green and beige checked smart casual shirt",has a spread collar,0,1,7,12
Indian Terrain Men Blue Slim Fit Solid Smart Casual Linen Shirt,Indian Terrain,2239,5,"\"Blue solid smart casual shirt",has a spread collar,0,1,5,11
AURELIA Women Navy Blue & Pink Floral Print Knitted Winter A-Line Kurta,AURELIA,599,5,"\"Navy Blue and pink printed knitted winter A-line kurta",has a round neck,1,1,9,12
AURELIA Women Yellow Solid Ankle-Length Leggings,AURELIA,349,5,"\"A pair of yellow solid ankle-length leggings","has an elasticated waistband with a slip-on closure\"",1,1,7,6
AURELIA Women Coral Red & White Striped Straight Kurta,AURELIA,399,5,"\"Coral red and white striped straight kurta",has a round neck,1,1,7,9
WROGN Men White & Blue Slim Fit Printed Casual Shirt,WROGN,1999,5,"\"White and blue printed casual shirt",has a spread collar,0,1,6,10
AURELIA Women Green & Golden Printed A-Line Layered Kurta,AURELIA,759,5,"\"Green and golden printed A-line layered kurta with sequinned detail",has a round neck,1,1,10,9
HERE&NOW Women Red Ribbed Front-Open Sweater,HERE&NOW,749,5,"\"Red ribbed front-open sweater",has a shawl collar,1,1,4,6
Lavie Women Grey Solid Zip Around Wallet,Lavie,2399,7,"\"Grey solid zip around wallet",has a zip2 main compartment11 card holders,1,1,5,7
Lady Love Peach-Coloured Solid Non-Wired Non Padded Minimizer Bra LLBR2014,Lady Love,362,4,Peach-Coloured solid full-coverage Minimizer bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Red,1,1,23,10
Cortina White & Maroon Set of 2 Door Curtains,Cortina,545,4,Set content: 2 Door curtainsColour: White and MaroonPattern: Floral DoorLight blocking: RegularFitting: Eyelet,White,2,1,13,9
U.S. Polo Assn. Kids Boys Brown & Navy Blue Solid Reversible Bomber,U.S. Polo Assn. Kids,1849,9,"\"Brown and navy blue solid reverisble bomber",has a stand collar,0,0,7,12
Roadster Men Black Sneakers,Roadster,1999,5,"\"A pair of round-toe black sneakers",has regular styling,0,1,6,4
U.S. Polo Assn. Kids Girls Blue & Red Striped A-Line Dress,U.S. Polo Assn. Kids,1149,6,"\"Blue and Red striped knitted A-line dress",has a round neck,1,0,7,11
U.S. Polo Assn. Kids Girls Black Solid Treggings,U.S. Polo Assn. Kids,779,6,"\"Solid black treggings","has an elasticated waistband with slip-on closure\"",1,0,3,8
Disney by Wear Your Mind Men Yellow Printed Round Neck T-shirt,Disney by Wear Your Mind,559,5,"\"Yellow and Black printed T-shirt",has a round neck,0,1,5,11
U.S. Polo Assn. Kids Boys Navy Blue Solid Hooded Sweatshirt,U.S. Polo Assn. Kids,1999,6,"\"Navy Blue solid sweatshirt with applique detail",has a hood,0,0,7,10
U.S. Polo Assn. Kids Girls Navy Blue Printed Reversible Peplum Jacket,U.S. Polo Assn. Kids,1649,7,"\"Navy Blue printed peplum jacket",has a hood,1,0,5,11
TALES & STORIES Boys Blue Solid Lightweight Denim Jacket,TALES & STORIES,1169,3,"\"Blue and Black solid jacket",has a spread collar,0,0,5,9
Gini and Jony Girls Blue Washed Denim Mini Straight Skirt,Gini and Jony,844,3,"\"Blue washed denim mini straight skirt",has 5 pockets,1,0,6,10
GAP Girl Graphic Long Sleeves T-shirt,GAP,499,3,Soft knitLong sleevesCrewneckLogo graphic at chest,"",1,0,6,6
Saree mall Off-White & Maroon Woven Design Kasavu Saree,Saree mall,986,6,"\"Design Detail:Off-white",maroon and golden kasavu woven design saree with foil print workBlouse PieceThe model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece.Origin:Kasavu sarees originated from the land of 'God's own country',1,1,2,9
Alcis Men Red Solid Round Neck Sports T-shirt,Alcis,449,5,"\"Red solid sports T-shirt",has a round neck,0,1,4,8
PUMA Motorsport Unisex Black Mapm Smash V2 Sneakers,PUMA Motorsport,3599,7,"\"Design Details:A pair of round-toe black sneakers",has regular styling,2,1,7,8
Pepe Jeans Boys White Printed Polo Collar T-shirt,Pepe Jeans,524,3,"\"White printed T-shirt",has a polo collar,0,0,3,8
Noble Faith Blue Washed Casual Shirt,Noble Faith,1699,6,"\"Blue washed casual shirt",has a spread collar,1,1,4,6
Fancy Mart Green Artificial Water Plant With Pot,fancy mart,503,3,Set content: 1 plant with pot Plant type: Artificial water plant Plant colour: Beige and green Pot colour: Brown,Green,2,1,20,8
Bvlgari Men Aqva Pour Homme Marine Eau de Toilette 150ml,Bvlgari,8950,2,Bvlgari Men Aqva Pour Homme Marine Eau de Toilette,"",0,1,9,10
Peter England Men Black Briefs PIWBK9146012,Peter England,266,5,"\"A pair of black briefs","has an elasticated waistband and a panelled front with a double-layered contoured pouch\"",0,1,5,6
Vishudh Women Olive Green Floral Embroidered Straight Kurta,Vishudh,1299,5,"\"Olive Green embroidered straight kurta",has a mandarin collar,1,1,5,8
JEWEL JUNCTION Black Square Cufflinks,JEWEL JUNCTION,539,5,A pair of black and off-white square checked cufflinksComes in a signature JEWEL JUNCTION case,Black,0,1,15,5
SHISEIDO Unisex Essential Energy Eye Definer 15ml,SHISEIDO,1725,4,"\"What it is?A 24-hour moisturizing eye treatment that fights the harmful effects of digital screen exposure. Featuring ReNeura Technology which helps to enhance skin's responsiveness to your daily skincare regimen.What it does?Helps to visibly reduce dark circles",fine lines,2,1,37,7
Next Look Men Pink Regular Fit Printed Formal Shirt,Next Look,549,5,"\"Pink printed formal shirt",has a spread collar,0,1,4,9
Geox Men Black Leather Formal Derbys,Geox,4499,5,"\"A pair of black round-toed formal Derbys",has central lace-upsLeather upperCushioned footbedTextured and patterned outsole,0,1,7,6
MOVADO Women Blue Analogue Watch 607268,MOVADO,56192,3,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Blue bracelet style","stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature MOVADO case\"",1,1,17,6
Park Avenue Men Blue Slim Fit Checked Formal Shirt,Park Avenue,899,5,"\"Blue checked formal shirt",has a spread collar,0,1,4,9
Park Avenue Men Blue Slim Fit Solid Formal Shirt,Park Avenue,854,5,"\"Blue solid formal shirt",has a spread collar,0,1,4,9
DressBerry Women Blue & Off-White Colourblocked Cropped Sweatshirt With Printed Detailing,DressBerry,509,5,"\"Blue",off-white and black colourblocked sweatshirt,1,1,1,11
Crocs Literide  Men Black Woven Design Sneakers,Crocs,2697,5,"\"A pair of round-toe black sneakers",has regular styling,0,1,6,8
MBE Women Magenta Block Print Woven Design Anarkali Kurta,MBE,867,5,"\"Magenta woven design anarkali kurta",has a round neck,1,1,5,9
Marks & Spencer Women Blue Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Marks & Spencer,1999,7,"\"Blue medium wash 5-pocket mid-rise jeans with frayed hem",clean look,1,1,9,13
Roadster Women Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,1299,7,"\"Grey medium wash 5-pocket mid-rise jeans",clean look,1,1,6,10
Roadster Women Grey Skinny Fit Mid-Rise Clean Look Jeans,Roadster,1299,5,"\"Grey medium wash 4-pocket mid-rise jeans",clean look,1,1,6,9
Veni Vidi Vici Women Olive Green Solid Bardot Crop Top,Veni Vidi Vici,468,5,"\"Olive green solid knitted bardot crop top",has an off-shoulder neck,1,1,7,10
Bodycare Pack of 2 Assorted Lightly Padded T-shirt Bras E6552BFIR,Bodycare,820,4,Pack of 2 solid medium-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here,"",1,1,36,10
Zink London Women Red Blouson Dress,Zink London,659,5,"\"Red solid woven blouson %S",has a round neck,1,1,5,6
Roadster Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,594,7,"\"Blue medium wash five-pocket mid-rise jeans",clean look,0,1,6,10
ELLE Women Yellow Solid Shoulder Bag,ELLE,1317,5,"\"Yellow solid shoulder bag",has a zip closure2 main compartments,1,1,4,6
Alena Women Black Printed Straight Kurta,Alena,719,4,"\"Black printed straight kurta",has a mandarin collar,1,1,4,6
Priyaasi Sea Green Gold-Plated Stone-Studded Tasselled Circular Drop Earrings,Priyaasi,660,4,"\"Sea Green tasselled circular drop earrings",gold-plated,1,1,6,9
Indian Terrain Boys Grey Melange Solid Sweatshirt,Indian Terrain,599,4,"\"Grey Melange solid sweatshirt",has a mandarin collar,0,0,4,7
ZUSH Plus Size Women Blue Solid Regular Fit Capris,ZUSH,949,5,"\"Blue mid-rise solid Capris",button closure,1,1,4,9
Lavie Women Silver-Toned Embellished Open Toe Flats,Lavie,1299,5,"\"A pair of silver-toned embellished open-toed flats",has regular styling,1,1,7,7
Archies Love Gifts White & Red Printed Coffee Mug,Archies,699,3,Pattern: PrintedFinish: MatteMaterial: Ceramic,Red,2,1,4,9
Karmic Vision Women Navy Blue Solid Top,Karmic Vision,549,5,"\"Navy Blue solid woven regular top with lace inserts",has a boat neck,1,1,9,7
GIORDANO Men Navy Blue Sneakers,GIORDANO,3243,5,"\"A pair of round-toe navy blue sneakers",has regular styling,0,1,7,5
Indian Terrain Men Brown & Navy Blue Printed Polo Collar T-shirt,Indian Terrain,799,5,"\"Brown and Navy Blue printed T-shirt",has a polo collar,0,1,6,11
Indian Terrain Men Green Solid Polo Collar T-shirt,Indian Terrain,1599,5,"\"Green solid T-shirt",has a polo collar,0,1,3,8
Indian Terrain Boys Black Regular Fit Printed Chinos,Indian Terrain,629,4,"\"Black printed mid-rise trousers",button closure,0,0,4,8
Indian Terrain Men Beige Brooklyn Slim Fit Solid Regular Trousers,Indian Terrain,1259,5,"\"Beige solid low-rise trousers",button closure,0,1,4,10
Jewels Galaxy Red Gold-Plated Stone-Studded Circular Drop Earrings,Jewels Galaxy,630,4,"\"Red and black gold-plated circular drop earrings","has artificial stonesSecured with a post and back closure\"",1,1,7,8
Indian Terrain Men White Regular Fit Printed Casual Shirt,Indian Terrain,1034,6,"\"White printed casual shirt",has a slim collar,0,1,4,9
Indian Terrain Men Blue & Maroon Slim Fit Checked Smart Casual Linen Shirt,Indian Terrain,1304,5,"\"Blue and maroon checked smart casual shirt",has a spread collar,0,1,7,13
Melange by Lifestyle Men Navy Blue Printed Straight Kurta,Melange by Lifestyle,499,5,"\"Navy Blue printed straight kurta",has a mandarin collar,0,1,5,9
Indian Terrain Men Burgundy & Navy Blue Slim Fit Checked Samrt Casual Shirt,Indian Terrain,809,5,"\"Burgundy and navy blue checked smart casual shirt",has a spread collar,0,1,8,13
Indian Terrain Men Yellow Slim Fit Micro Ditsy Printed Cotton Linen Smart Casual Shirt,Indian Terrain,1034,6,"\"Yellow micro ditsy printed cotton linen smart casual shirt",has a spread collar,0,1,9,14
Vero Moda Grey Printed Fit & Flare Dress,Vero Moda,943,6,"\"Grey woven printed fit and flare dress",has a round neck,1,1,7,8
GERUA Women Peach-Coloured & Red Printed A-Line Kurti,GERUA,674,5,"\"Peach-coloured",red and olive green printed A-line kurti with pleated detail,1,1,1,8
WROGN Men Navy Blue Solid Hooded Slim Fit Sweatshirt,WROGN,1999,5,"\"Blue solid pullover sweatshirt",has a hood,0,1,4,9
Style Quotient Women Blue Solid Denim Jacket,Style Quotient,1028,6,"\"Blue solid denim jacket",has a spread collar,1,1,4,7
WROGN Men Black Solid Slim Fit Denim Jacket,WROGN,1439,7,"\"Black solid jacket",has a stand collar,0,1,3,8
Jack & Jones Men Navy Blue & Rust Slim Fit Printed Casual Shirt,Jack & Jones,749,5,"\"Navy Blue and Rust printed casual shirt",has a button-down collar,0,1,7,13
Kraft Cellar Women Navy Blue Solid Heels,Kraft Cellar,849,5,"\"A pair of navy blue open toe heels",has regular styling,1,1,8,7
Lady Stark Women Black Printed Shirt Style Top,Lady Stark,1273,5,"\"Black printed woven shirt style  top",has a shirt collar,1,1,7,8
W Women White & Blue Printed Straight Kurta,W,679,5,"\"White and Blue printed straight kurta",has a mandarin collar,1,1,6,8
Lady Love Blue Solid Non-Wired Non Padded Minimizer Bra LLBR2014,Lady Love,362,4,Blue solid full-coverage Minimizer bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Blue,1,1,23,10
Cortina Green Set of 2 Window Curtains,Cortina,450,4,Set content: 2 Window curtainsColour: GreenPattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No,Green,2,1,12,7
SEIKO Solar Women Off White Analogue watch SUP432P1,SEIKO,29500,6,"\"Display: AnalogueMovement: QuartzPower source: SolarDial style: Solid round stainless steel dialFeatures: Reset Time",Eco DriveStrap style: Silver-Toned bracelet style,1,1,13,8
Reebok Women Black & Grey Lux 2.0 Printed Training Tights,Reebok,2399,5,"\"Special technologiesSpeedwick fabric wicks sweat to help you stay cool and dryFlatlock seams sit flat against your skin for chafe-free comfortProduct design detailBlack and grey printed training tightshas an elasticated waistbandDesigned for: Any workoutFitted fitWide",mid-rise waist with panel on back for no-abrasion zoneAllover graphic; Half cuffs keep hems in placeAbout Reebok Lux 2.0 Printed Training TightsWhether you're heading to a new workout class or out for a casual afternoon,1,1,35,10
Roadster Women White Sneakers,Roadster,1499,5,"\"A pair of round-toe white sneakers",has regular styling,1,1,6,4
GNIST Women Black Solid Heels,GNIST,949,5,"\"A pair of black open toe heels",has high-top styling,1,1,7,5
Peora Traditional 18K Gold Plated Maang Tikka Set,Peora,629,6,"\"18K Gold-plated and pink maang tika with artificial stones embellishment","secured with hook closureComes with a matching pair of earrings secured with post and back closureWarranty: 6 monthsWarranty provided by brand/manufacturer\"",1,1,10,8
Amante Black Lace Underwired Non Padded Minimizer Bra 8903129216234,Amante,897,5,Black lace full-coverage Minimizer bra Non Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Red,1,1,23,9
Basics Men Beige Tapered Fit Self Design Regular Trousers,Basics,1469,5,"\"Beige self-design mid-rise trousers",button closure,0,1,4,9
FableStreet Women Mustard Yellow Checked Sheath Dress,FableStreet,2316,5,"\"Mustard checked woven sheath dress",has a square neck,1,1,5,7
GAP Women Logo Short Sleeve T-Shirt,GAP,749,5,Soft knitShort sleevesCrewneck,"",1,1,3,6
Louis Philippe Men Black Slim Fit Solid Formal Trousers,Louis Philippe,2166,5,Black solid  trousers and button closure,Black,0,1,7,9
Palm Tree Boys Navy Blue & Off White Striped Henley Neck T-shirt,Palm Tree,489,4,"\"Navy Blue and Off-white striped T-shirt",has a Henley neck,0,0,6,12
Flying Machine Boys Green Checked Padded Hooded Jacket,Flying Machine,999,3,"\"Green checked jacket",has a hooded,0,0,3,8
Twisha Boys Red & Yellow Solid Kurta with Pyjamas & Waistcoat,Twisha,974,7,"\"Red and yellow solid kurta with pyjamasRed solid straight knee length kurta",has a round neck,0,0,12,11
FURO by Red Chief Men Blue Mesh Walking Shoes,FURO by Red Chief,2045,5,"\"A pair of blue walking sports shoes",has regular styling,0,1,7,9
Genius18 Men Grey & Black Printed Sweatshirt,Genius18,919,5,"\"Grey and Black printed sweatshirt",has a round neck,0,1,5,7
Puma Men Cream-Coloured Vertex Pro Nu Idp Running Shoes,Puma,2599,7,"\"Special Technology:SoftFoam + insole provides superior cushioning and comfort ideal for every stage of your dayDesign Details:A pair of cream-coloured running sports shoes",has regular styling,0,1,23,9
Pepe Jeans Men Beige Slim Fit Chinos Trousers,Pepe Jeans,1399,6,Beige woven chinos   Slim fit   Mid-rise   Length:  regular   Pattern: solid   Flat-front design   Feature:  plain   5 pockets,Beige,0,1,36,8
Peter England Men Pink & Blue Striped Briefs PIWBPH9186011,Peter England,266,5,"\"A pair of pink and blue striped briefs","has an elasticated waistband and a panelled front with a double-layered contoured pouch\"",0,1,8,9
Parx Men Peach-Coloured Solid Round Neck T-shirt,Parx,489,5,Peach-coloured solid t-shirt has a round neck and short sleeves,Red,0,1,10,7
HIGHLANDER Men White & Navy Blue Slim Fit Printed Casual Shirt,HIGHLANDER,699,5,"\"White and navy blue printed casual shirt",has a spread collar,0,1,7,11
SEJ by Nisha Gupta Set of 4 Yellow & Blue Printed Table Placemats,SEJ by Nisha Gupta,799,4,Set content: 4 table mats Shape: Rectangle Colour: Yellow and blue Pattern: Printed Suitable For: 4 seater table Material: Cotton,Blue,2,1,21,13
Russell Athletic Black Sweatshirt,Russell Athletic,2999,5,"\"Black sweatshirt",has a round neck,1,1,2,4
Parx Men Blue Striped Polo Collar T-shirt,Parx,519,5,"\"Blue striped T-shirt",has a polo collar,0,1,3,7
Next Look Men Magenta Regular Fit Solid Formal Shirt,Next Look,599,5,"\"Magenta solid casual shirt",has a spread collar,0,1,4,9
MASPAR White Printed Single Bed Duvet Cover,MASPAR,11999,5,Set content: 1 duvet cover Size: Single bed Colour: White Pattern: Solid GSM: 250 GSM,White,2,1,15,7
Next Look Men White & Blue Slim Fit Printed Formal Shirt,Next Look,549,5,"\"White and Blue printed formal shirt",has a spread collar,0,1,6,11
XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN138,XYXX,967,5,"\"Pack of 3 Black",Yellow & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness,0,1,4,11
SEJ by Nisha Gupta Red & Mustard Yellow Printed Tissue Holder,SEJ by Nisha Gupta,699,3,Set Content: 1 tissue holderPattern: PrintedFinish: MatteMaterial: Wood,Red,2,1,8,11
Fame Forever by Lifestyle Men Black & White Printed Polo Collar T-shirt,Fame Forever by Lifestyle,449,6,"\"Black and White printed T-shirt",has a polo collar,0,1,5,12
Yuris Women Pink & White Printed Straight Kurta,Yuris,599,6,"\"Pink and white printed straight kurta",has a keyhole neck,1,1,6,8
Fame Forever by Lifestyle Men White Printed Round Neck T-shirt,Fame Forever by Lifestyle,399,4,"\"White printed T-shirt",has a round neck,0,1,3,10
Titan Karishma Gents Men Black Analogue watch NL1775YL01,Titan,1996,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Brown regular","leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case\"",0,1,15,8
Coolers Men Coffee Brown Sandals,Coolers,699,5,A pair of coffee brown comfort sandalsSynthetic upper with slip-on closureCushioned footbedPatterned rubber outsole,Brown,0,1,14,5
DressBerry Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Ankle Length Jeans,DressBerry,594,7,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,1,1,6,12
UCLA Men Blue & White Slim Fit Checked Casual Shirt,UCLA,849,4,"\"Blue and White checked casual shirt",has a spread collar,0,1,6,10
CASIO Youth Men Blue Analogue Watch A1621 MTP-E159L-2B2DF,CASIO,2306,7,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round metal dialFeatures: Reset TimeStrap style: Beige regular","leather strap with a tang closureWater resistance: Water ResistantWarranty: 2 yearsWarranty provided by brand/manufacturer\"",0,1,15,8
Newport Men Red Printed Round Neck T-shirt,Newport,479,5,"\"Red printed T-shirt",has a round neck,0,1,3,7
Blue Giraffe Boys White & Blue Regular Fit Printed Casual Shirt,Blue Giraffe,949,3,"\"White and Blue printed casual shirt",has a spread collar,0,0,6,11
Skult By Shahid Kapoor Men Black Solid Straight-Fit Knitted Track Pants,SKULT by Shahid Kapoor,999,5,"\"Black solid straight-fit track pants with camouflage print detailing",has an elasticated waistband with a drawstring fastening,0,1,9,11
Wintage Men Brown Solid Woven Nehru Jacket,Wintage,1799,5,"\"Brown solid woven nehru jacket",has a mandarin collar,0,1,5,7
Bonjour Women Pack of 4 Assorted Ankle Length Socks,Bonjour,449,4,"\"Pack of four assorted shoeliners","each has an elasticated mouth and a flat-toe seam.Note: The final product delivered might vary in colour and prints from the display here\"",1,1,5,9
Archies Love Gifts Multicolured Printed Ceramic Coffee Mug,Archies,699,3,Type: MugPattern: PrintedFinish: MatteMaterial: Ceramic,Red,2,1,5,8
Indian Terrain Boys Grey Solid Insulator Puffer Jacket,Indian Terrain,1259,3,"\"Grey solid jacket",has a mock collar,0,0,3,8
DOROTHY PERKINS Women Silver & Rose-Gold Toned Leather One Toe Flats,DOROTHY PERKINS,1196,5,"\"A pair of silver and rose gold-toned one-toe flats",has regular styling,1,1,9,11
Indian Terrain Men Grey Melange Solid Round Neck T-shirt,Indian Terrain,584,5,"\"Grey Melange solid T-shirt",has a round neck,0,1,4,9
Ginger by Lifestyle Women Green & White Regular Fit Printed Casual Shirt,Ginger by Lifestyle,649,5,"\"Green and white printed casual shirt",has a spread collar,1,1,6,12
CUTECUMBER Girls Blue Printed Top,CUTECUMBER,556,4,"\"Blue and Pink printed knitted and woven regular  top",has a round neck,1,0,10,5
Vero Moda Yellow Printed Top,Vero Moda,348,6,"\"Yellow knitted?top with printed detail on the front",has a round neck,1,1,8,5
Kvsfab Women Beige & Grey Cotton Blend Printed Saree,Kvsfab,1999,6,Design Detail:Beige and grey printed saree and has a solid borderComes with a blouse pieceThenbsp;modelnbsp;isnbsp;wearingnbsp;anbsp;stitchednbsp;versionnbsp;of the blouse. The saree comes with an unstitched blouse piece.,Beige,1,1,25,9
Indian Terrain Men Navy Blue & Off-White Slim Fit Checked Smart Casual Shirt,Indian Terrain,899,5,"\"Navy Blue",Off-white and Maroon checked casual shirt,0,1,2,13
Indian Terrain Men Red & White Slim Fit Checked Smart Casual Shirt,Indian Terrain,944,6,"\"Red",white and navy blue checked smart casual shirt,0,1,1,12
VALIOSAA Women Black Loafers,VALIOSAA,1227,5,"\"A pair of round-toe black loafers",has regular styling,1,1,6,4
AURELIA Women Navy Blue Regular Fit Printed Cropped Trousers,AURELIA,499,5,"\"Navy blue printed mid-rise cropped trousers",has partially elasticated waistband with slip-on detail,1,1,6,9
WROGN Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,WROGN,1679,7,"\"Black dark wash 5-pocket mid-rise jeans",clean look,0,1,6,10
Lavie Women Olive Green & Off-White Colourblocked Three Fold Wallet,Lavie,839,7,"\"Olive Green and off-white colourblocked three fold wallet",has a button closure1 main compartment13 card holder,1,1,8,10
AURELIA Women Off-White & Golden Printed Panelled Straight Kurta,AURELIA,479,5,"\"Off-White and golden printed straight kurta",has a round neck,1,1,6,9
HERE&NOW Women Red Solid Windcheater Hooded Puffer Jacket,HERE&NOW,1399,8,"\"Red solid jacket",has a detachable hood,1,1,3,8
